id,name,alias,birth,death,b_note,d_note
g.11_p4rccl,Vaino Haapalainen,-,1893-05-29,1945-11-08,"",""
g.120j31dr,Katja Wirth,-,1980-04-02,2080-03-08,"",Datum umrtia nemusi byt spravny.
g.119x72pzn,Kathrin Marchand,-,1990-11-15,2090-10-21,"",Datum umrtia nemusi byt spravny.
g.120z6_xm,Mayu Fukunoue,Fukuda Mayumi,1978-12-04,2078-11-09,"",Datum umrtia nemusi byt spravny.
g.120z6_xm,Mayu Fukunoue,まゆ,1978-12-04,2078-11-09,"",Datum umrtia nemusi byt spravny.
g.120z6_xm,Mayu Fukunoue,福田 真由美,1978-12-04,2078-11-09,"",Datum umrtia nemusi byt spravny.
g.120z6_xm,Mayu Fukunoue,Mayu,1978-12-04,2078-11-09,"",Datum umrtia nemusi byt spravny.
g.120z6_xm,Mayu Fukunoue,ふくだ まゆみ,1978-12-04,2078-11-09,"",Datum umrtia nemusi byt spravny.
g.120z6_xm,Mayu Fukunoue,Mayumi Fukuda,1978-12-04,2078-11-09,"",Datum umrtia nemusi byt spravny.
g.120z6_xm,Mayu Fukunoue,Fukunoue Mayu,1978-12-04,2078-11-09,"",Datum umrtia nemusi byt spravny.
g.120z6_xm,Mayu Fukunoue,ふくのうえ まゆ,1978-12-04,2078-11-09,"",Datum umrtia nemusi byt spravny.
g.120z6_xm,Mayu Fukunoue,麻由,1978-12-04,2078-11-09,"",Datum umrtia nemusi byt spravny.
g.120z6_xm,Mayu Fukunoue,福之上 真友,1978-12-04,2078-11-09,"",Datum umrtia nemusi byt spravny.
g.122rv880,Angelo D'Alessandro,-,1926-04-17,2011-02-01,"",""
g.11c3hvc9jt,Abdullahi Maje Karofi,-,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
g.11vjpcw91,Margit Schaumäker,-,1925-05-12,2025-04-17,"",Datum umrtia nemusi byt spravny.
g.122vrdwg,Yelena Aminova,-,1949-12-29,2049-12-04,"",Datum umrtia nemusi byt spravny.
g.1234t00c,Gerhard Trampusch,-,1978-08-11,2078-07-17,"",Datum umrtia nemusi byt spravny.
g.11bc14t09w,Clemuel Ricketts \Clement\ Woodin,-,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
g.120lqcnl,Michael Wollitz,-,1961-03-28,2061-03-03,"",Datum umrtia nemusi byt spravny.
g.122z2gvf,Heinrich Augustin,-,1937-10-30,2037-10-05,"",Datum umrtia nemusi byt spravny.
g.1223q95s,Maurice Frydland,-,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
g.122xfcxz,Jack Hamel,Jacobus Gerardus Hamel,1890-11-24,1951-01-13,"",""
g.1213tvkk,Alex Demirovic,-,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
g.122j3s0_,Valery Fedosov,Valeri Fedosov,1941-06-25,1990-06-05,"",""
g.122qm724,Theodor Hampe,-,1866-01-01,1933-01-01,"",""
g.121yyf9_,Guusje Kaayk,-,1950-03-18,2050-02-21,"",Datum umrtia nemusi byt spravny.
g.11bc13vmg1,Count Otto-Luitpold,-,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
g.123923dy,Pream Busala-Khamvong,-,1981-03-24,2081-02-27,"",Datum umrtia nemusi byt spravny.
g.11dyj0klv,Carin Thiel,-,1889-02-09,1989-01-16,"",Datum umrtia nemusi byt spravny.
g.11c3hvc7kt,Mary Elixzabeth Russell Owens,-,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
g.11bc16p_92,Samuel Trott,-,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
g.122zk41n,Stefan Ambrosius,-,1976-01-01,2075-12-07,"",Datum umrtia nemusi byt spravny.
g.121v7l60,Maria Umboh,-,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
g.1216ftq3,Chico Amaral,-,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
g.11bc15l7kc,Paula Ninčić,-,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
g.121kwcd8,Björn Glasner,-,1973-05-05,2073-04-10,"",Datum umrtia nemusi byt spravny.
