m.010q3gmb,Jiexi Wang,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.01117gkg,R.G. Gopi,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.01148g28,Edward Annan,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.011ctvf7,Mikhail Yudin,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.011jknyd,Ken Smith,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.011kzk7z,Deepika Mohan,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.011n3txp,Roy Chowdhury,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.011n3x6k,Yuriy Volkov,1909-12-18,2009-11-23,Datum narodenia nemusi byt spravny.,""
m.011nkhxx,Thora Aamot,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.01n40wc,Søs Fenger,1961-12-02,2061-11-07,"",Datum umrtia nemusi byt spravny.
m.0260lg8,Prosdocimus,0000-12-01,0100-11-07,Datum narodenia nemusi byt spravny.,""
m.02pzbtf,Wolfgang de Beer,1964-01-02,2063-12-08,"",Datum umrtia nemusi byt spravny.
m.02qh14p,Salonia,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.02vz3x5,William Alexander Mackinnon,1784-08-02,1870-04-30,"",""
m.03bztdd,Ibrahima Touré,1985-12-17,2085-11-22,"",Datum umrtia nemusi byt spravny.
m.03cqkr3,Kenneth L. Gile,1947-01-01,2046-12-07,"",Datum umrtia nemusi byt spravny.
m.03ct19l,Henry Blagrove,1887-04-26,1939-10-14,"",""
m.03mdr98,Tommaso Reato,1984-05-12,2084-04-17,"",Datum umrtia nemusi byt spravny.
m.03qk2jc,Scotty Lago,1987-11-12,2087-10-18,"",Datum umrtia nemusi byt spravny.
m.03qnv83,Jim Shepard,1956-12-29,2056-12-04,"",Datum umrtia nemusi byt spravny.
m.03wqktc,Ibrahim Nafi Onat,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.03wsygs,Barbara Novick,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.03wvfhr,Douglas E Barzelay,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.04n1zsx,John Adam Cramb,1862-05-04,1913-10-01,"",""
m.04n67pm,Edith Picht-Axenfeld,1914-01-01,2001-04-18,"",""
m.05b8gfl,Hayley Cloake,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.05x53h5,Glenda Abramson,1938-11-16,2038-10-22,"",Datum umrtia nemusi byt spravny.
m.05x8k9x,Edwin D. Mead,1849-01-01,1937-01-01,"",""
m.05xxr15,James Grace,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.069yq2,Curtis Warren,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.07k98zq,Cecilia Hartmann,1931-02-14,2031-01-20,"",Datum umrtia nemusi byt spravny.
m.0809vdl,Vyacheslav Kirillov,1989-06-20,2089-05-26,"",Datum umrtia nemusi byt spravny.
m.0100t3rv,Sean Ohlenkamp,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.010g_ckq,Franziska Machens,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.010lk4m7,Faye Chrisley,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.010s9q3s,Mason Holland,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.010x2_5n,Dimitar Ilkov,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.0112l5l3,Astrid Lily Box,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.011cm_db,Yuya Ogawa,1977-01-01,2076-12-07,"",Datum umrtia nemusi byt spravny.
m.011fgx2s,Siegfried,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.011lst0n,Sendhil Kumar,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.0124t0ck,Ike Sellers,1905-07-17,1997-10-12,"",""
m.0130z1k_,Emmanouil Antoniadis,1791-01-01,1890-12-08,"",Datum umrtia nemusi byt spravny.
m.02660mb,Alfonso Márquez,1972-04-12,2072-03-18,"",Datum umrtia nemusi byt spravny.
m.02phtfp,Frans Timmermans,1961-05-06,2061-04-11,"",Datum umrtia nemusi byt spravny.
m.02vl76_,Josh Mandel,1958-10-09,2058-09-14,"",Datum umrtia nemusi byt spravny.
m.03b_gkf,George I. Cannon,1920-03-09,2009-08-04,"",""
m.03c189b,Farid Simaika,1907-06-18,1943-09-11,"",""
m.03g_lgf,Jerry De La Cruz,1948-12-21,2048-11-26,"",Datum umrtia nemusi byt spravny.
m.03hmv6l,Andres Perez Rivero,1975-04-15,2075-03-21,"",Datum umrtia nemusi byt spravny.
m.03wvn0p,Richard A Firehammer Jr,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.0415sn_,Magno Nazaret,1986-01-17,2085-12-23,"",Datum umrtia nemusi byt spravny.
m.043s03_,Aleksander Janusz Zasławski,1650-01-01,1682-01-01,"",""
m.04587m,Michael Michai Kitbunchu,1929-01-25,2028-12-31,"",Datum umrtia nemusi byt spravny.
m.04sw5ny,Liz Mermin,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
