id,name,birth,death,nationality_ref,nationality,height_meters,birth_validation,death_validation
m.02pzbtf,Wolfgang de Beer,1964-01-02,2063-12-08,m.0345h,Wolfgang de Beer,1.81,"",Datum umrtia nemusi byt spravny.
m.03bztdd,Ibrahima Touré,1985-12-17,2085-11-22,m.06srk,Ibrahima Touré,1.88,"",Datum umrtia nemusi byt spravny.
m.03ct19l,Henry Blagrove,1887-04-26,1939-10-14,m.07ssc,Henry Blagrove,"","",""
m.03mdr98,Tommaso Reato,1984-05-12,2084-04-17,m.03rjj,Tommaso Reato,1.96,"",Datum umrtia nemusi byt spravny.
m.03qk2jc,Scotty Lago,1987-11-12,2087-10-18,m.09c7w0,Scotty Lago,1.85,"",Datum umrtia nemusi byt spravny.
m.03qnv83,Jim Shepard,1956-12-29,2056-12-04,m.09c7w0,Jim Shepard,"","",Datum umrtia nemusi byt spravny.
m.04n67pm,Edith Picht-Axenfeld,1914-01-01,2001-04-18,m.0345h,Edith Picht-Axenfeld,"","",""
m.05b8gfl,Hayley Cloake,"","",m.0chghy,Hayley Cloake,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.0809vdl,Vyacheslav Kirillov,1989-06-20,2089-05-26,m.06bnz,Vyacheslav Kirillov,1.74,"",Datum umrtia nemusi byt spravny.
m.0112l5l3,Astrid Lily Box,"","",m.09c7w0,Astrid Lily Box,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.011cm_db,Yuya Ogawa,1977-01-01,2076-12-07,m.03_3d,Yuya Ogawa,"","",Datum umrtia nemusi byt spravny.
m.02phtfp,Frans Timmermans,1961-05-06,2061-04-11,m.059j2,Frans Timmermans,"","",Datum umrtia nemusi byt spravny.
m.02vl76_,Josh Mandel,1958-10-09,2058-09-14,m.09c7w0,Josh Mandel,"","",Datum umrtia nemusi byt spravny.
m.03b_gkf,George I. Cannon,1920-03-09,2009-08-04,m.09c7w0,George I. Cannon,"","",""
m.03c189b,Farid Simaika,1907-06-18,1943-09-11,m.02k54,Farid Simaika,"","",""
m.0415sn_,Magno Nazaret,1986-01-17,2085-12-23,m.015fr,Magno Nazaret,1.75,"",Datum umrtia nemusi byt spravny.
m.05q6prr,Lutz Mommartz,1934-03-06,2034-02-09,m.0345h,Lutz Mommartz,"","",Datum umrtia nemusi byt spravny.
m.0651jk_,Ashli Aitken,1999-01-01,2009-06-14,m.0chghy,Ashli Aitken,"","",""
m.06syyy,Sergio Rodríguez,1986-06-12,2086-05-18,m.06mkj,Sergio Rodríguez,1.91,"",Datum umrtia nemusi byt spravny.
m.07k8z3h,Aleksandr Aksyonov,1983-08-26,2083-08-01,m.06bnz,Aleksandr Aksyonov,1.72,"",Datum umrtia nemusi byt spravny.
m.07y8y6,Charles Fenno Jacobs,1904-12-14,1973-07-01,m.09c7w0,Charles Fenno Jacobs,"","",""
m.01dyw8,Ronald Paulson,1930-05-27,2030-05-02,m.09c7w0,Ronald Paulson,"","",Datum umrtia nemusi byt spravny.
m.0253dk,Chen Kaige,1952-08-12,2052-07-18,m.0d05w3,Chen Kaige,"","",Datum umrtia nemusi byt spravny.
